Date,Average of SO2,Average of NO2,Average of SPM,Average of RSPM/PM10
26-10-2007,13.15,74.75,630,298.5
27-10-2007,2.4,102.9,526,271
28-10-2007,5.2,129.1,504,268
29-10-2007,8.066666667,76.53333333,507.6666667,270
30-10-2007,5.933333333,73.96666667,421,220
01-11-2007,5.3,43.6,415.5,233
04-11-2007,4.4,38.15,495,161.5
05-11-2007,8.033333333,46.2,322.6666667,117
06-11-2007,4.5,41.35,601,227
07-11-2007,4,35.8,155,54
09-11-2007,4,34.4,205.5,109.5
10-11-2007,4.2,70.13333333,435,192.5
12-11-2007,15.925,76.725,512,226.25
13-11-2007,16.425,99.45,752,413.25
14-11-2007,9.35,82.35,612.75,322.75
15-11-2007,4.25,52.65,686,374.5
16-11-2007,4.25,47.9,485.5,368
19-11-2007,10.33333333,73.1,645,325.3333333
20-11-2007,13.7,72.875,675,340
21-11-2007,14.025,86.625,725.5,413.25
22-11-2007,4.4,43.15,465,234
23-11-2007,4.15,46.9,576.5,317.5
26-11-2007,4.9,59.8,826,427
27-11-2007,4.4,44.8,539,289.5
28-11-2007,4.25,44.55,551,249
29-11-2007,4.85,56.65,653.5,249.5
01-12-2007,5.25,67.8,387.5,269
02-12-2007,4.25,27.4,137.5,99
04-12-2007,4.4,39.95,408.5,218.5
05-12-2007,5.9,60.8,229,71
06-12-2007,4.1,29.3,492.5,151
07-12-2007,4,18.8,127,60
09-12-2007,4,34.3,271,102
10-12-2007,4,28.35,331,106
11-12-2007,10.83333333,86.03333333,646.6666667,314.6666667
12-12-2007,13.5,76.05,604.25,309.25
13-12-2007,4.75,55,426.5,185.5
14-12-2007,4.1,44.1,359.5,153.5
17-12-2007,12.3,71.25,596,313.5
18-12-2007,11.9,83.725,674.75,373.5
19-12-2007,8.133333333,66.43333333,645.6666667,319
20-12-2007,4,46.4,607.5,349.5
24-12-2007,4.4,48.65,509.5,181
26-12-2007,4,52.65,346,136
27-12-2007,4.25,50.05,421,205.5
28-12-2007,11.93333333,64.9,559.6666667,234.3333333
29-12-2007,28.5,98,600,367
